日期,隊伍,兩分命中率,三分命中率,罰球命中率,進攻,防守,總計,助攻,抄截,阻攻,失誤,犯規,得分,勝負,二分出手,二分命中,三分出手,三分命中,罰球出手,罰球命中
2018-11-25-13-0,輔仁大學,67.3,32.1,70,8,25,33,29,7,7,11,21,107,1,33,49,9,28,14,20
2018-11-25-13-1,萬能科大,57.7,34,66.7,10,24,34,24,8,5,15,20,98,0,15,26,16,47,20,30
2018-11-25-14-0,文化大學,40.4,34.6,75.9,10,25,35,25,19,5,26,27,87,1,19,47,9,26,22,29
2018-11-25-14-1,臺灣科大,35.2,28.6,67.7,20,27,47,10,13,6,33,26,77,0,19,54,6,21,21,31
2018-11-25-16-0,醒吾科大,43.8,29.2,33.3,9,27,36,11,9,0,17,11,68,0,21,48,7,24,5,15
2018-11-25-16-1,臺灣師大,50.8,27.6,62.5,18,33,51,24,12,8,13,21,89,1,30,59,8,29,5,8
2018-11-25-18-0,健行科大,51.4,18.8,81.2,13,27,40,13,13,6,13,16,69,1,19,37,6,32,13,16
2018-11-25-18-1,國立體大,45.9,29.6,53.8,9,23,32,19,8,1,19,15,65,0,17,37,8,27,7,13
2018-11-26-13-0,臺灣師大,52.6,36,58.8,13,26,39,14,14,9,20,14,77,1,20,38,9,25,10,17
2018-11-26-13-1,文化大學,43.5,33.3,63.6,9,20,29,18,13,1,23,16,62,0,20,46,5,15,7,11
2018-11-26-14-0,國立體大,43.8,45.5,76.9,15,39,54,17,8,1,18,19,82,1,21,48,10,22,10,13
2018-11-26-14-1,萬能科大,26.2,22.2,75,8,21,29,10,11,3,9,15,52,0,11,42,6,27,12,16
2018-11-26-16-0,臺灣科大,27.5,31.2,60,14,27,41,6,10,6,18,23,67,0,11,40,10,32,15,25
2018-11-26-16-1,輔仁大學,42.5,26.7,78.1,13,38,51,19,13,5,22,19,83,1,17,40,8,30,25,32
2018-11-26-18-0,健行科大,58.1,50,85.7,10,36,46,24,15,4,21,14,98,1,25,43,14,28,6,7
2018-11-26-18-1,醒吾科大,25,23.5,68.8,10,17,27,11,18,3,23,12,51,0,8,32,8,34,11,16
2018-11-27-13-0,萬能科大,34.3,18.8,75,11,27,38,12,8,0,27,14,48,0,12,35,6,32,6,8
2018-11-27-13-1,臺灣師大,60.4,30.8,44.4,11,26,37,25,18,2,15,14,90,1,29,48,8,26,8,18
2018-11-27-14-0,輔仁大學,25.6,43.3,69.2,10,22,32,16,14,4,21,10,68,0,10,39,13,30,9,13
2018-11-27-14-1,健行科大,51.1,35.5,57.1,15,35,50,15,14,5,22,11,83,1,23,45,11,31,4,7
2018-11-27-16-0,臺灣科大,45.5,28,66.7,9,26,35,8,11,4,15,21,69,0,20,44,7,25,8,12
2018-11-27-16-1,國立體大,46.2,25,63.6,16,29,45,12,8,3,15,15,74,1,18,39,8,32,14,22
2018-11-27-18-0,醒吾科大,34.1,30,80,14,23,37,10,5,5,20,17,56,0,15,44,6,20,8,10
2018-11-27-18-1,文化大學,55.6,6.7,69.2,11,23,34,14,8,7,12,12,72,1,30,54,1,15,9,13
2018-11-29-13-0,臺灣師大,50.8,50,65,15,32,47,23,21,4,16,18,106,1,30,59,11,22,13,20
2018-11-29-13-1,臺灣科大,43.4,25,69.2,11,21,32,16,10,2,28,19,67,0,23,53,4,16,9,13
2018-11-29-14-0,文化大學,40.4,50,50,10,17,27,17,21,2,24,19,69,1,19,47,7,14,10,20
2018-11-29-14-1,國立體大,57.1,23.1,57.1,10,23,33,10,10,7,34,17,61,0,20,35,3,13,12,21
2018-11-29-16-0,健行科大,56.2,35.3,58.8,16,35,51,16,12,2,14,15,100,1,27,48,12,34,10,17
2018-11-29-16-1,萬能科大,41,29.3,45.5,15,26,41,18,10,0,15,20,73,0,16,39,12,41,5,11
2018-11-29-18-0,輔仁大學,46.7,47.6,36.4,10,29,39,20,6,3,15,15,76,1,21,45,10,21,4,11
2018-11-29-18-1,醒吾科大,51.7,33.3,53.8,5,26,31,16,11,1,12,13,73,0,15,29,12,36,7,13
2018-11-30-13-0,萬能科大,39.1,25.5,80,23,35,58,12,10,5,17,20,96,1,18,46,12,47,24,30
2018-11-30-13-1,臺灣科大,38.9,25.8,72.2,25,36,61,13,10,4,17,23,93,0,28,72,8,31,13,18
2018-11-30-14-0,文化大學,48.7,23.8,75,14,12,26,11,11,2,30,20,59,0,19,39,5,21,6,8
2018-11-30-14-1,健行科大,63.4,36.8,75,11,21,32,17,19,4,24,10,91,1,26,41,7,19,18,24
2018-11-30-16-0,輔仁大學,58.8,16.7,57.1,8,31,39,10,8,6,29,12,64,0,20,34,4,24,12,21
2018-11-30-16-1,臺灣師大,55.4,15.8,68.8,7,28,35,20,23,1,13,20,82,1,31,56,3,19,11,16
2018-11-30-18-0,醒吾科大,43.6,15.4,52.4,4,17,21,5,11,0,21,11,51,0,17,39,2,13,11,21
2018-11-30-18-1,國立體大,57.4,33.3,77.8,13,27,40,15,11,4,19,19,86,1,27,47,6,18,14,18
2018-12-01-13-0,萬能科大,44,12.5,80,15,23,38,11,7,5,17,13,61,0,22,50,3,24,8,10
